"ID","Field","Depth","Date","BulkD","ECe","ECpw","SoilGWC","PasteGWC","ssatNa","ssatCa","ssatMg","ssatK","ssatAlk","ssatNO3","ssatS","ssatCl","PasteNa","PasteCa","PasteMg","PasteK","PasteAlk","PasteNO3","PasteS","PasteCl","SoilCa","SoilMg","SoilNa","SoilK","SoilNO3","SoilS","CEC","cecH","cecK","cecCa","cecMg","cecNa","Qs","Qr","alpha","n","m","soil_type","ssatVWC","PasteVWC","soilKmeqkg","soilCameqkg","soilMgmeqkg","soilNameqkg","soilKeqkg","soilCaeqkg","soilMgeqkg","soilNaeqkg","soilESP","soilESR","ssatKmeqL","ssatCameqL","ssatMgmeqL","ssatNameqL","ssatClmeqL","ssatSmeqL","ssatNO3meqL","ssatAlkmeqL","ssatKmolL","ssatCamolL","ssatMgmolL","ssatNamolL","ssatClmolL","ssatSmolL","ssatNO3molL","ssatAlkmolL","ssatIonicStrength","ssatPredictedEC","ssatSAR","ssatDBCa","ssatDBMg","ssatDBNa","ssatDBK","ssatGaponCaMg","ssatGaponCaNa","ssatGaponCaK","PasteKmeqL","PasteCameqL","PasteMgmeqL","PasteNameqL","PasteClmeqL","PasteSmeqL","PasteNO3meqL","PasteAlkmeqL","PasteKmolL","PasteCamolL","PasteMgmolL","PasteNamolL","PasteClmolL","PasteSmolL","PasteNO3molL","PasteAlkmolL","PasteIonicStrength","PastePredictedEC","PasteSAR","PasteDBCa","PasteDBMg","PasteDBNa","PasteDBK","PasteGaponCaMg","PasteGaponCaNa","PasteGaponCaK"
24,"X-HI",15,"8/24/2018",1.406282041,13.2,11.52,0.288858062,0.68240988,2707,557,714,66,845,0.8,2617,705,116,146,44,2,71,4.5,205,22,5341,1189,822,429,54,414,41.3,0,3,64,24,9,NA,NA,NA,NA,NA,24,0.406215904988665,0.959660758844965,12.39,264.32,99.12,37.17,0.01239,0.26432,0.09912,0.03717,90,8.99999999999999,1.6896,27.7943,58.7622,117.70036,19.85985,54.51211,0.01288,13.84955,0.0016896,0.01389715,0.0293811,0.11770036,0.01985985,0.027256055,1.288e-05,0.01384955,0.21762473,17.135805511811,17.8913431545943,0.13992231753901,0.147672916151613,0.605146366926375,0.598474356756159,0.251045929442973,11.4860133989294,0.489194763200127,0.0512,7.2854,3.6212,5.04368,0.61974,4.27015,0.07245,1.16369,5.12e-05,0.0036427,0.0018106,0.00504368,0.00061974,0.002135075,7.245e-05,0.00116369,0.01865213,1.46867165354331,2.1598213487599,0.542058508409592,0.544954189890314,0.857177950042802,0.85629727706598,0.530487063258148,0.691864734142111,0.0210483694239411
25,"X-HI",15,"8/24/2018",1.406282041,11.66,14.78,0.288858062,0.68240988,3401,560,1021,70,1184,0.8,3545,858,2318,416,530,30,302,1,2308,439,5341,1189,822,429,54,414,41.3,0,3,64,24,9,NA,NA,NA,NA,NA,25,0.406215904988665,0.959660758844965,12.39,264.32,99.12,37.17,0.01239,0.26432,0.09912,0.03717,90,8.99999999999999,1.792,27.944,84.0283,147.87548,24.16986,73.84235,0.01288,19.40576,0.001792,0.013972,0.04201415,0.14787548,0.02416986,0.036921175,1.288e-05,0.01940576,0.28244264,22.2395779527559,19.7631362912756,0.109217378432062,0.116916025748776,0.567166655335747,0.559184885859456,0.209012190697005,15.2675432700931,0.547238931912396,0.768,20.7584,43.619,100.78664,12.36663,48.07564,0.0161,4.94978,0.000768,0.0103792,0.0218095,0.10078664,0.01236663,0.02403782,1.61e-05,0.00494978,0.171896615,13.5351665354331,17.7644288299036,0.171276821291699,0.17889526051628,0.637853576246714,0.632224490824025,0.253128026477787,10.8425189272841,0.245674463978536
26,"X-HI",50,"8/24/2018",1.585158997,13.2,27.6,0.250482759,0.567557252,7996,494,1599,76,1394,39.5,7024,1678,3559,389,574,37,115,8.5,3168,693,7473,1258,1635,351,14.3,1077,55.9,0,2,66,19,13,NA,NA,NA,NA,NA,26,0.397054999022233,0.899668484320396,11.18,368.94,106.21,72.67,0.01118,0.36894,0.10621,0.07267,130,-4.33333333333333,1.9456,24.6506,131.5977,347.66608,47.26926,146.30992,0.63595,22.84766,0.0019456,0.0123253,0.06579885,0.34766608,0.04726926,0.07315496,0.00063595,0.02284766,0.512740495,40.3732673228346,39.3341408193552,0.0556819239588451,0.0624550298256599,0.474659643693522,0.463095996623808,0.11764478208183,31.9808017431311,1.13496549449373,0.9472,19.4111,47.2402,154.74532,19.52181,65.98944,0.13685,1.88485,0.0009472,0.00970555,0.0236201,0.15474532,0.01952181,0.03299472,0.00013685,0.00188485,0.221258755,17.4219492125984,26.8057651898337,0.1378447860182,0.145598462872127,0.602788672569788,0.596038383219956,0.179554234550723,12.947262160065,0.509359733743996
27,"X-HI",100,"8/24/2018",1.432892749,21.8,16.56,0.260105786,0.544149809,4460,513,852,31,1508,0.9,4049,930,5393,517,852,46,155,4.1,4928,1125,6273,1045,1244,263,4,542,46.2,0,1,68,19,12,NA,NA,NA,NA,NA,27,0.372703694732346,0.779708315685835,4.62,314.16,87.78,55.44,0.00462,0.31416,0.08778,0.05544,120,-6,0.7936,25.5987,70.1196,193.9208,26.1981,84.34067,0.01449,24.71612,0.0007936,0.01279935,0.0350598,0.1939208,0.0261981,0.042170335,1.449e-05,0.02471612,0.302880525,23.8488602362205,28.0312137817287,0.101733394714001,0.10938096567749,0.556694451188763,0.548333805112129,0.162815152483789,16.9528698345009,0.820030238537873,1.1776,25.7983,70.1196,234.48764,31.69125,102.65024,0.06601,2.54045,0.0011776,0.01289915,0.0350598,0.23448764,0.03169125,0.05132512,6.601e-05,0.00254045,0.333549615,26.2637492125984,33.8598572318277,0.0919297789716966,0.0994808492024932,0.542052086329098,0.533149455978193,0.162921681456051,20.9160652602358,1.23978684992021
28,"DL1",30,"7/16/2017",0.997073401,1.51,2.13,0.31546996,0.741752157,112,340,85,10,1204,0.3,263,133,111,192,44,7,663,2.7,193,58,6282,803,136,286,8,113,39.4,0,2,80,17,1,0.57,0.14558,0.67148,1.1941,0.1625492,28,0.314546705930534,0.739581345879076,7.88,315.2,66.98,3.94,0.00788,0.3152,0.06698,0.00394,10,0.111111111111111,0.256,16.966,6.9955,4.86976,3.74661,5.47829,0.00483,19.73356,0.000256,0.008483,0.00349775,0.00486976,0.00374661,0.002739145,4.83e-06,0.01973356,0.04374517,3.44450157480315,1.40690753345022,0.396576799539156,0.401404192625788,0.791723442979084,0.789850192597207,0.328936437758392,5.31780813910052,0.139446076627669,0.1792,9.5808,3.6212,4.82628,1.63386,4.02019,0.04347,10.86657,0.0001792,0.0047904,0.0018106,0.00482628,0.00163386,0.002010095,4.347e-05,0.01086657,0.02599688,2.04699842519685,1.87848463806176,0.486973485599928,0.490563203864637,0.834194633743625,0.833007453339138,0.344380647907947,6.66854898614155,0.123625578467135
29,"DL1",120,"7/16/2017",1.482359956,4.51,6.35,0.266608645,0.317235356,862,542,385,2,2959,0.4,1252,196,578,449,217,5,2027,0.6,944,87,6908,817,284,187,7.7,186,43.1,0,1,80,16,3,0.53,0.00020578,0.051277,1.157,0.135695765,29,0.39520997927142,0.470256988361804,4.31,344.8,68.96,12.93,0.00431,0.3448,0.06896,0.01293,30,0.428571428571429,0.0512,27.0458,31.6855,37.47976,5.52132,26.07916,0.00644,48.49801,5.12e-05,0.0135229,0.01584275,0.03747976,0.00552132,0.01303958,6.44e-06,0.04849801,0.130588825,10.2825846456693,6.91635047131016,0.211601421068352,0.21887907233261,0.673778282059678,0.669199327644536,0.181679865496407,12.5889159357097,0.0512414293538565,0.128,22.4051,17.8591,25.13144,2.45079,19.66352,0.00966,33.22253,0.000128,0.01120255,0.00892955,0.02513144,0.00245079,0.00983176,9.66e-06,0.03322253,0.09039893,7.11802598425197,5.60109365317991,0.270681336634746,0.277263252163611,0.71794829459093,0.714518254748493,0.221338342879974,8.73759021140996,0.132869617182008
30,"DL2",30,"7/16/2017",1.156075139,0.93,1.96,0.279937571,0.676424656,104,281,75,6,1015,14.5,209,57,85,132,34,5,472,0.3,97,46,6130,687,130,222,8.8,35.9,37.5,0,2,81,15,2,0.57,0.00034237,0.13918,1.1782,0.151247666,30,0.323628866305147,0.781997728208227,7.5,303.75,56.25,7.5,0.0075,0.30375,0.05625,0.0075,20,0.25,0.1536,14.0219,6.1725,4.52192,1.60569,4.35347,0.23345,16.63585,0.0001536,0.00701095,0.00308625,0.00452192,0.00160569,0.002176735,0.00023345,0.01663585,0.036123125,2.8443405511811,1.42305732594076,0.430193924246531,0.434550280948553,0.80831026919159,0.806723389034025,0.277709823436754,2.69547571331536,0.091379823783644,0.128,6.5868,2.7982,3.6958,1.29582,2.02051,0.00483,7.73608,0.000128,0.0032934,0.0013991,0.0036958,0.00129582,0.001010255,4.83e-06,0.00773608,0.017835775,1.40439173228346,1.70610721856395,0.549262210593405,0.552071434748995,0.860049069117437,0.859203480028879,0.283397702072598,3.02673649743225,0.104724650446264
31,"DL2",120,"7/16/2017",1.454203398,1.68,3.73,0.183265857,0.629106201,276,482,175,2,1934,1.1,569,123,117,190,49,4,679,0.1,241,41,6326,726,138,232,9.9,80,38.9,0,2,80,16,2,0.58,9.5591e-05,0.27901,1.172,0.146757679,31,0.266505831986782,0.914848375197071,7.78,311.2,62.24,7.78,0.00778,0.3112,0.06224,0.00778,20,0.25,0.0512,24.0518,14.4025,12.00048,3.46491,11.85227,0.01771,31.69826,5.12e-05,0.0120259,0.00720125,0.01200048,0.00346491,0.005926135,1.771e-05,0.03169826,0.07392285,5.8206968503937,2.73678802094952,0.304791544621761,0.310915343972257,0.740170849065074,0.737257984558716,0.255897018194324,5.86854358111709,0.0249395828764499,0.1024,9.481,4.0327,5.08716,1.15497,5.02003,0.00161,11.12881,0.0001024,0.0047405,0.00201635,0.00508716,0.00115497,0.002510015,1.61e-06,0.01112881,0.027271205,2.14733897637795,1.95705602402346,0.478825808353612,0.482522699413788,0.830627758929207,0.829388925370197,0.305484382368135,3.54765172711437,0.0713045641002324
32,"DL3",30,"7/16/2017",1.269198251,2.23,3.88,0.285728118,0.768096055,273,617,187,10,2322,18.2,696,195,172,326,82,10,1157,0.3,391,67,6858,1064,496,284,6.6,206,46,0,2,74,19,5,0.51,0.0030409,0.053528,1.1334,0.117698959,32,0.362645627627122,0.974866169606,9.2,340.4,87.4,23,0.0092,0.3404,0.0874,0.023,50,1,0.256,30.7883,15.3901,11.87004,5.49315,14.49768,0.29302,38.05758,0.000256,0.01539415,0.00769505,0.01187004,0.00549315,0.00724884,0.00029302,0.03805758,0.088660975,6.98117913385827,2.47028885856456,0.273927216884649,0.280466776536189,0.720152301494782,0.716775391842022,0.358897882635194,1.94824155004816,0.104551273380081,0.256,16.2674,6.7486,7.47856,1.88739,8.14453,0.00483,18.96323,0.000256,0.0081337,0.0033743,0.00747856,0.00188739,0.004072265,4.83e-06,0.01896323,0.045455535,3.57917598425197,2.2045403679034,0.389820993280384,0.394744009685677,0.788260886250996,0.7863248850995,0.396140228753098,1.54943366614745,0.132271726608124
33,"DL3",60,"7/16/2017",1.570473419,5.67,8.56,0.22840773,0.62922872,1343,544,545,11,3631,14.9,1693,412,742,535,298,13,2579,0.7,1203,189,8141,1173,811,247,11.3,265,54.6,0,1,74,18,6,0.52,0.00071083,0.092173,1.1712,0.146174863,33,0.358708268659129,0.988186979231394,5.46,404.04,98.28,32.76,0.00546,0.40404,0.09828,0.03276,60,1.5,0.2816,27.1456,44.8535,58.39364,11.60604,35.26519,0.23989,59.51209,0.0002816,0.0135728,0.02242675,0.05839364,0.01160604,0.017632595,0.00023989,0.05951209,0.17228092,13.5654267716535,9.73233416061192,0.170965109126936,0.178585539621284,0.637551824758375,0.63191349024301,0.185149668154868,9.5317587504001,0.273359095226037,0.3328,26.6965,24.5254,32.26216,5.32413,25.05849,0.01127,42.26981,0.0003328,0.01334825,0.0122627,0.03226216,0.00532413,0.012529245,1.127e-05,0.04226981,0.116380475,9.16381692913386,6.37500598096176,0.2295508863497,0.236635688428411,0.688100190224244,0.683911196047917,0.249953524344276,4.94622576020748,0.304272776743405
34,"DL3",120,"7/16/2017",1.440953253,5.5,10.04,0.290138549,0.630835919,1783,489,556,22,3539,0,1955,407,739,501,278,10,2411,7.7,1158,111,7059,1199,1244,255,0.4,515,51.3,0,1,69,19,11,0.458083447,0.00011328,0.013409,1.1379,0.121188154,34,0.41807608600225,0.909005069592295,5.13,353.97,97.47,56.43,0.00513,0.35397,0.09747,0.05643,110,-11,0.5632,24.4011,45.7588,77.52484,11.46519,40.72265,0,58.00421,0.0005632,0.01220055,0.0228794,0.07752484,0.01146519,0.020361325,0,0.05800421,0.18466127,14.540257480315,13.0891485247326,0.161416227593337,0.169091716622657,0.628098084298484,0.62216642794174,0.196464609474868,6.88274138924506,0.544822467208922,0.256,24.9999,22.8794,32.13172,3.12687,24.12114,0.12397,39.51629,0.000256,0.01249995,0.0114397,0.03213172,0.00312687,0.01206057,0.00012397,0.03951629,0.109577865,8.62817834645669,6.56712186455754,0.239151291663304,0.246125345861215,0.695412042387457,0.691415722881458,0.283732788384199,2.56355171578084,0.223376665658357
35,"DL0",15,"7/23/2019",1.534863655,6.56,7.52,0.348794517,0.703296703,1235,414,335,50,3.6,1371,421,179,956,474.8,266,44,121,19.8,1229,173,6574,1328,1317,523,12.2,2587,51,0,3,64,22,11,NA,NA,NA,NA,NA,35,0.53535202720658,1.07946454811603,15.3,326.4,112.2,56.1,0.0153,0.3264,0.1122,0.0561,110,-11,1.28,20.6586,27.5705,53.6978,5.04243,8.76943,22.0731,0.059004,0.00128,0.0103293,0.01378525,0.0536978,0.00504243,0.004384715,0.0220731,5.9004e-05,0.098074697,7.72241708661417,10.9349527808381,0.257177145338305,0.263931663955835,0.708555772122644,0.704894805608869,0.293725239689062,4.2950298938173,0.373457656780244,1.1264,23.69252,21.8918,41.56688,4.87341,25.60007,0.31878,1.98319,0.0011264,0.01184626,0.0109459,0.04156688,0.00487341,0.012800035,0.00031878,0.00198319,0.09611872,7.5684031496063,8.70672214566386,0.260496101863356,0.267208778185544,0.710898512130845,0.707295827151217,0.353087914394084,3.09493175684642,0.3059575766561
36,"DL0",100,"7/23/2019",1.621652104,10.09,13.89,0.272738109,0.621456764,2728,427.9,655,25,3.1,2591,606,793,2165,410.1,410,22,83,16.8,2100,317,5121,1064,1424,229,2.3,1260,41.2,0,1,62,21,15,NA,NA,NA,NA,NA,36,0.442286328300831,1.00778666888563,4.12,255.44,86.52,61.8,0.00412,0.25544,0.08652,0.0618,150,-3,0.64,21.35221,53.9065,118.61344,22.33881,12.62298,41.7151,0.050809,0.00064,0.010676105,0.02695325,0.11861344,0.02233881,0.00631149,0.0417151,5.0809e-05,0.1795607695,14.1386432677165,19.3361726111828,0.165237919778323,0.172892792415224,0.631931550974278,0.62611966354128,0.208398634400612,7.37637680376426,0.591517678809004,0.5632,20.46399,33.743,94.1342,8.92989,43.743,0.27048,1.36037,0.0005632,0.010231995,0.0168715,0.0941342,0.00892989,0.0218715,0.00027048,0.00136037,0.15057906,11.8566188976378,18.0815138215603,0.190232340156442,0.197709421592818,0.655463838196851,0.650362249382773,0.258737518836565,5.78061796762276,0.51473929721
37,"DL0 Mid",50,"7/23/2019",1.614695778,10.34,30.9,0.314585458,0.730354391,8979,633.1,1912,115,1408,44.1,7866,1988,2260,428.7,415,45,106,28.1,2101,318,7046,1315,2111,394,4.4,1870,56.4,0,2,62,19,16,NA,NA,NA,NA,NA,37,0.507959810852796,1.17930015159146,11.28,349.68,107.16,90.24,0.01128,0.34968,0.10716,0.09024,160,-2.66666666666667,2.944,31.59169,157.3576,390.40692,56.00196,163.84878,0.71001,23.07712,0.002944,0.015795845,0.0786788,0.39040692,0.05600196,0.08192439,0.00071001,0.02307712,0.589368075,46.4069350393701,40.1661191874343,0.0464716535096904,0.0528858185133957,0.452304273608368,0.439806353005904,0.128714930638223,25.2554092601275,1.48147901292833,1.152,21.39213,34.1545,98.2648,8.95806,43.76383,0.45241,1.73734,0.001152,0.010696065,0.01707725,0.0982648,0.00895806,0.021881915,0.00045241,0.00173734,0.154592765,12.1726586614173,18.6459327972015,0.186393748351082,0.193902460089937,0.65200938937591,0.646806240670044,0.237787472949551,5.56026952194166,0.517321688840374
38,"DL0 Mid",100,"7/23/2019",1.621652104,12.81,13.96,0.264874953,0.643383436,4510,606.4,1123,43,7,10,4307,963,2829,401.4,441,32,90,10.9,2622,433,5121,1064,1424,229,2.3,1260,41.2,0,1,62,21,15,NA,NA,NA,NA,NA,38,0.429535024829351,1.04334410266815,4.12,255.44,86.52,61.8,0.00412,0.25544,0.08652,0.0618,150,-3,1.1008,30.25936,92.4229,196.0948,27.12771,89.71481,0.161,0.11473,0.0011008,0.01512968,0.04621145,0.1960948,0.02712771,0.044857405,0.000161,0.00011473,0.32469659,25.5666606299213,25.0374555475134,0.0946020590041799,0.102183060618858,0.546156447033599,0.537407150786161,0.186478393767056,11.7008767991118,0.969478953884013,0.8192,20.02986,36.2943,123.00492,12.19761,54.61626,0.17549,1.4751,0.0008192,0.01001493,0.01814715,0.12300492,0.01219761,0.02730813,0.00017549,0.0014751,0.17977658,14.1556362204724,23.1787557440142,0.165073124355473,0.172728926125435,0.631767649044022,0.625950663875017,0.245981813457949,7.89983738873611,0.781915086830088
39,"DL2",15,"7/23/2019",1.523932286,1.242,2.2,0.328947368,0.708788983,167,239.9,79,45,0,194,848,64,101,150,43,22,136,1.7,187,22,5489,905,157,473,3.3,66.3,36.9,0,3,74,20,2,NA,NA,NA,NA,NA,39,0.501293514489923,1.08014641515481,11.07,273.06,73.8,7.38,0.01107,0.27306,0.0738,0.00738,20,0.25,1.152,11.97101,6.5017,7.26116,1.80288,17.66384,3.1234,0,0.001152,0.005985505,0.00325085,0.00726116,0.00180288,0.00883192,0.0031234,0,0.04280627,3.37057244094488,2.38921756106325,0.400396865089479,0.40517030008818,0.793661371064844,0.79182279392164,0.3645664860177,4.35559249016496,0.459616075735246,0.5632,7.485,3.5389,4.39148,0.61974,3.89521,0.02737,2.22904,0.0005632,0.0037425,0.00176945,0.00439148,0.00061974,0.001947605,2.737e-05,0.00222904,0.018834525,1.48303346456693,1.8705024204842,0.540484562669196,0.543399274678147,0.856546737169701,0.855658255494856,0.392005493099306,3.09450470081699,0.264302276845836
40,"DL2 Mid",15,"7/23/2019",1.523932286,1.884,2.58,0.317061974,0.705391719,212,281.9,98,36,0,249,799,106,190,229.7,71,21,128,1.5,336,34,5489,905,157,473,3.3,66.3,36.9,0,3,74,20,2,NA,NA,NA,NA,NA,40,0.483180978841493,1.07496921486114,11.07,273.06,73.8,7.38,0.01107,0.27306,0.0738,0.00738,20,0.25,0.9216,14.06681,8.0654,9.21776,2.98602,16.64317,4.0089,0,0.0009216,0.007033405,0.0040327,0.00921776,0.00298602,0.008321585,0.0040089,0,0.04734252,3.72775748031496,2.7709456212793,0.382654296088017,0.387678979341483,0.784537082260124,0.782532453337012,0.354609447019146,5.15768110615628,0.342901337528629,0.5376,11.46203,5.8433,8.2612,0.95778,6.99888,0.02415,2.09792,0.0005376,0.005731015,0.00292165,0.0082612,0.00095778,0.00349944,2.415e-05,0.00209792,0.030243535,2.38138070866142,2.80845966868972,0.461067389846414,0.465001398787628,0.82268903236794,0.821331301514277,0.376925073411129,4.89195656186294,0.211880077698871
41,"DL2 Mid",50,"7/23/2019",1.295532914,4.52,7.1,0.257566938,0.630976238,1639,549.5,436,63,0,1641,1469,508,566,470.7,214,9,121,5.1,927,61,5358,1195,830,264,1.9,525.1,41,0,2,65,24,9,NA,NA,NA,NA,NA,41,0.333686445737197,0.817450484280898,8.2,266.5,98.4,36.9,0.0082,0.2665,0.0984,0.0369,90,9,1.6128,27.42005,35.8828,71.26372,14.31036,30.59927,26.4201,0,0.0016128,0.013710025,0.0179414,0.07126372,0.01431036,0.015299635,0.0264201,0,0.15070561,11.8665834645669,12.6669441370893,0.190109217376788,0.197587335105925,0.655353865843039,0.650249058361543,0.316599977076078,6.60685067890728,0.66761009850714,0.2304,23.48793,17.6122,24.60968,1.71837,19.30941,0.08211,1.98319,0.0002304,0.011743965,0.0088061,0.02460968,0.00171837,0.009654705,8.211e-05,0.00198319,0.074721415,5.88357598425197,5.4287440535135,0.302946572098396,0.309095768416694,0.739018904949549,0.736080245896167,0.422133622231769,2.20212499618689,0.0924060918672132
42,"DL2 Mid",100,"7/23/2019",1.454700279,5.38,7.85,0.251454697,0.625343272,1259,528.7,323,33,0.2,1238,829,633,727,467.2,256,11,72,2.3,1114,121,5016,930,776,259,1.5,587.2,36.9,0,2,68,21,9,NA,NA,NA,NA,NA,42,0.36579121788176,0.909687032249173,7.38,250.92,77.49,33.21,0.00738,0.25092,0.07749,0.03321,90,8.99999999999999,0.8448,26.38213,26.5829,54.74132,17.83161,17.26807,19.9318,0.003278,0.0008448,0.013191065,0.01329145,0.05474132,0.01783161,0.008634035,0.0199318,3.278e-06,0.116909504,9.20547275590551,10.6374039593995,0.228833710292763,0.235926589414612,0.687544661324731,0.683340850539604,0.302995157515198,5.17586156030792,0.357248385525481,0.2816,23.31328,21.0688,31.60996,3.40857,23.20462,0.03703,1.18008,0.0002816,0.01165664,0.0105344,0.03160996,0.00340857,0.01160231,3.703e-05,0.00118008,0.08584532,6.75947401574803,6.71019464595568,0.279346550602433,0.285814726549125,0.723788015472324,0.720497867479571,0.321160057614488,3.02930769997076,0.120888758835084
43,"XHI",15,"7/23/2019",1.534863655,8.67,25.7,0.394204232,0.693005671,6386,614.4,1525,106,1794,19.9,6135,1978,1513,478.2,314,43,123,45.2,1511,483,6574,1328,1317,523,12.2,2587,51,0,3,64,22,11,NA,NA,NA,NA,NA,43,0.605049748343988,1.06366921712679,15.3,326.4,112.2,56.1,0.0153,0.3264,0.1122,0.0561,110,-11,2.7136,30.65856,125.5075,277.66328,55.72026,127.79205,0.32039,29.40366,0.0027136,0.01532928,0.06275375,0.27766328,0.05572026,0.063896025,0.00032039,0.02940366,0.466868705,36.7613153543307,31.4224555647379,0.062559400896888,0.0695472459279383,0.489590200392971,0.47863761576109,0.161135067719256,25.5406111945589,0.894755151144618,1.1008,23.86218,25.8422,65.78524,13.60611,31.47413,0.72772,2.01597,0.0011008,0.01193109,0.0129211,0.06578524,0.01360611,0.015737065,0.00072772,0.00201597,0.12279643,9.66901023622047,13.1961161909855,0.22111892351598,0.228296816917758,0.681483011309589,0.677115902709361,0.325084341753177,5.07829317441034,0.309583023440482
44,"XHI",50,"7/23/2019",1.614695778,13.54,27.9,0.291730537,0.684782609,7570,630.1,1647,124,1507,59.9,6601,1923,2952,428.9,501,55,95,31.2,2699,474,7046,1315,2111,394,4.4,1870,56.4,0,2,62,19,16,NA,NA,NA,NA,NA,44,0.471056066407573,1.10571558760012,11.28,349.68,107.16,90.24,0.01128,0.34968,0.10716,0.09024,160,-2.66666666666667,3.1744,31.44199,135.5481,329.1436,54.17091,137.49883,0.96439,24.69973,0.0031744,0.015720995,0.06777405,0.3291436,0.05417091,0.068749415,0.00096439,0.02469973,0.510565435,40.2020027559055,36.0209417755707,0.0559818613652898,0.0627651978628078,0.475339078685182,0.463803475439665,0.139390900249041,20.4360501533988,1.53848639803844,1.408,21.40211,41.2323,128.35296,13.35258,56.22017,0.50232,1.55705,0.001408,0.010701055,0.02061615,0.12835296,0.01335258,0.028110085,0.00050232,0.00155705,0.191441035,15.0740972440945,22.9358263038301,0.156562254488927,0.164261011831925,0.623128172582673,0.617039571068166,0.215549844183519,7.57178285811468,0.657991879301064
45,"XHI",100,"7/23/2019",1.621652104,15.92,25.1,0.315343613,0.675247525,5412,400.3,970,41,24.3,4619,891,1645,3658,426.3,542,48,104,26.5,3134,728,5121,1064,1424,229,2.3,1260,41.2,0,1,62,21,15,NA,NA,NA,NA,NA,45,0.511377633504412,1.09501656963704,4.12,255.44,86.52,61.8,0.00412,0.25544,0.08652,0.0618,150,-3,1.0496,19.97497,79.831,235.31376,46.33965,18.55953,74.3659,0.398277,0.0010496,0.009987485,0.0399155,0.23531376,0.04633965,0.009279765,0.0743659,0.000398277,0.2970990935,23.3936294094488,33.310723169687,0.103765939701337,0.111429183790473,0.559594922995758,0.551339955641387,0.163498143389456,16.90697995268,1.11449852174149,1.2288,21.27237,44.6066,159.04984,20.50776,65.28122,0.42665,1.70456,0.0012288,0.010636185,0.0223033,0.15904984,0.02050776,0.03264061,0.00042665,0.00170456,0.222618995,17.5290547244094,27.7124443591502,0.137080182060419,0.144834783768262,0.60191415050325,0.595134721588711,0.227555261749786,10.3630583326621,1.18742968930319
46,"DL1",15,"7/26/2019",1.36062425,1.916,3.59,0.241848686,0.632102729,380,442.5,150,26,113.8,461,408,171,139,243.6,66,21,129,76.4,205,65,5662,729,100,358,6.2,87.3,35.7,0,3,79,17,1,NA,NA,NA,NA,NA,46,0.329065187002236,0.860054301568578,10.71,282.03,60.69,3.57,0.01071,0.28203,0.06069,0.00357,10,0.111111111111111,0.6656,22.08075,12.345,16.5224,4.81707,8.49864,7.4221,1.865182,0.0006656,0.011040375,0.0061725,0.0165224,0.00481707,0.00424932,0.0074221,0.001865182,0.058570566,4.61185559055118,3.9824141702216,0.345228158705441,0.350784926710582,0.764172157057272,0.761771326525806,0.285506393153173,16.1564676288209,0.216271231362316,0.5376,12.15564,5.4318,6.04372,1.83105,4.27015,1.23004,2.11431,0.0005376,0.00607782,0.0027159,0.00604372,0.00183105,0.002135075,0.00123004,0.00211431,0.02773595,2.18393307086614,2.03806494479993,0.475938179851879,0.479673305664014,0.829352434524545,0.828094866496427,0.320657466645564,7.36243309376005,0.217969636203399
47,"DL0",15,"8/27/2019",1.534863655,3.6,5.29,0.394906187,0.629546726,953,443,297,44,318,0.6,1252,114,268,572.2,166,28,106,0.9,781,87,6574,1328,1317,523,12.2,2587,51,0,3,64,22,11,NA,NA,NA,NA,NA,47,0.606127153560934,0.966268388861643,15.3,326.4,112.2,56.1,0.0153,0.3264,0.1122,0.0561,110,-11,1.1264,22.1057,24.4431,41.43644,3.21138,26.07916,0.00966,5.21202,0.0011264,0.01105285,0.01222155,0.04143644,0.00321138,0.01303958,9.66e-06,0.00521202,0.09812591,7.72644960629921,8.58901159594657,0.257091311428033,0.263846906803208,0.708494879034892,0.704832391617193,0.32268917502815,3.20424416783766,0.317728650136705,0.7168,28.55278,13.6618,11.65264,2.45079,16.26823,0.01449,1.73734,0.0007168,0.01427639,0.0068309,0.01165264,0.00245079,0.008134115,1.449e-05,0.00173734,0.06676884,5.25738897637795,2.53634362080985,0.322374141003661,0.328253430555862,0.750889529044548,0.748211334571839,0.492479783168676,0.750409573212616,0.168652078634366
48,"DL0",100,"8/27/2019",1.621652104,8.86,10.74,0.33811389,0.576729393,2299,412.6,548,27,528,13.6,2081,653,1822,427.3,364,21,68,10.6,1852,304,5121,1064,1424,229,2.3,1260,41.2,0,1,62,21,15,NA,NA,NA,NA,NA,48,0.548303101110124,0.935254433597093,4.12,255.44,86.52,61.8,0.00412,0.25544,0.08652,0.0618,150,-3,0.6912,20.58874,45.1004,99.96052,18.39501,43.34723,0.21896,8.65392,0.0006912,0.01029437,0.0225502,0.09996052,0.01839501,0.021673615,0.00021896,0.00865392,0.172996175,13.6217460629921,17.4420174419614,0.170387531024828,0.178011620082732,0.63699159294381,0.631336067895929,0.223896354079138,6.28411097503346,0.646007006444539,0.5376,21.32227,29.9572,79.22056,8.56368,38.57716,0.17066,1.11452,0.0005376,0.010661135,0.0149786,0.07922056,0.00856368,0.01928858,0.00017066,0.00111452,0.13466014,10.6031606299213,15.6452008154572,0.206914999936025,0.214239479650346,0.669886887575427,0.665199123472727,0.280827704615581,4.67027126367572,0.472068377021434
